MUNICIPIO,AGROPECUARIA,INDUSTRIA,ADM PUBLICA,SUBTOTAL,TOTAL,IMPOSTOS,PIB,PIB CAPITA
Adamantina,25.214,55.097,48.908,175.798,305.017,29.629,334.646,9.937
Adolfo,12.412,2.470,6.151,7.353,28.386,984,29.370,8.012
Aguaí,55.190,86.126,33.138,85.424,259.878,18.902,278.780,9.480
Águas da Prata,4.287,3.966,9.594,16.527,34.375,2.398,36.773,5.059
Águas de Lindóia,2.790,10.787,21.912,77.669,113.158,8.962,122.120,7.419
Águas de Santa Bárbara,14.718,3.777,8.824,14.672,41.990,1.900,43.890,8.189
Águas de São Pedro,0,3.403,5.635,27.948,36.986,1.996,38.982,18.310
Agudos,65.540,251.431,40.740,131.434,489.146,127.366,616.512,18.560
Alambari,14.357,1.251,5.350,5.017,25.974,722,26.696,6.634
Alfredo Marcondes,3.559,1.791,4.632,6.661,16.644,850,17.493,4.635
Altair,28.744,2.035,5.605,7.905,44.289,644,44.933,12.450
Altinópolis,41.700,5.233,18.934,46.299,112.167,5.366,117.533,7.522
Alto Alegre,18.156,5.021,5.898,8.575,37.651,1.176,38.827,9.203
Alumínio,3.082,365.903,29.494,140.552,539.030,174.993,714.023,45.251
Álvares Florence,8.505,18.068,5.395,9.138,41.106,1.648,42.754,10.129
Álvares Machado,8.201,26.467,26.644,47.921,109.233,13.907,123.139,5.358
Álvaro de Carvalho,3.347,1.020,5.198,4.110,13.675,470,14.145,3.317
Alvinlândia,2.934,1.087,4.223,4.150,12.394,491,12.885,4.474
Americana,4.574,1.526.701,283.217,1.356.430,3.170.922,640.612,3.811.535,19.945
Américo Brasiliense,13.708,42.616,33.694,63.444,153.462,18.081,171.543,5.716
Américo de Campos,5.612,1.874,7.271,10.091,24.849,1.392,26.242,4.644
Amparo,52.721,370.798,82.944,341.210,847.673,154.180,1.001.853,16.122
Analândia,15.636,18.118,6.819,13.730,54.303,2.146,56.449,14.934
Andradina,49.545,249.158,66.805,262.641,628.149,59.270,687.419,12.416
Angatuba,48.584,51.989,23.300,51.450,175.322,13.131,188.453,9.299
Anhembi,29.326,5.695,7.163,10.101,52.285,1.365,53.651,11.064
Anhumas,9.499,1.793,4.333,4.611,20.236,611,20.848,5.936
Aparecida,628,20.757,41.272,147.021,209.678,16.533,226.211,6.485
Aparecida d'Oeste,10.387,1.526,5.507,9.082,26.501,958,27.460,5.695
Apiaí,52.838,42.200,30.028,47.352,172.418,11.956,184.374,6.869
Araçariguama,1.238,106.398,20.325,78.408,206.369,59.318,265.687,20.707
Araçatuba,52.948,287.482,227.296,945.758,1.513.483,187.600,1.701.083,9.816
Araçoiaba da Serra,10.552,13.613,26.873,55.628,106.665,13.978,120.644,5.482
Aramina,15.919,6.391,6.762,14.580,43.653,3.220,46.874,9.615
Arandu,11.208,1.958,8.664,7.237,29.067,959,30.026,4.899
Arapeí,1.124,333,4.639,2.560,8.657,228,8.885,3.432
Araraquara,107.002,715.317,252.305,1.194.494,2.269.117,326.422,2.595.539,13.660
Araras,82.030,595.321,137.131,644.707,1.459.189,189.091,1.648.280,15.207
Arco-Íris,8.084,2.161,3.311,3.143,16.701,503,17.203,8.177
Arealva,16.467,5.078,9.090,14.208,44.844,1.995,46.839,6.298
Areias,7.801,15.462,6.090,6.177,35.529,466,35.996,9.886
Areiópolis,14.829,5.964,12.478,14.533,47.804,1.619,49.423,4.734
Ariranha,20.995,63.753,10.853,37.293,132.894,23.992,156.887,20.142
Artur Nogueira,33.909,42.939,42.247,93.911,213.006,22.111,235.117,6.459
Arujá,6.437,265.928,76.726,211.072,560.163,94.256,654.419,10.253
Aspásia,4.648,620,2.829,2.069,10.166,232,10.397,5.575
Assis,28.473,104.259,103.909,495.350,731.990,94.244,826.234,9.214
Atibaia,54.384,261.925,157.021,597.612,1.070.942,202.459,1.273.401,10.962
Auriflama,8.736,12.856,16.499,36.843,74.934,5.378,80.312,5.837
Avaí,53.341,4.940,6.270,14.354,78.906,1.370,80.275,17.058
Avanhandava,22.920,11.162,11.584,17.252,62.919,6.975,69.894,7.292
Avaré,85.168,104.812,89.605,290.491,570.077,51.167,621.244,7.927
Bady Bassitt,7.329,8.939,14.988,30.486,61.741,6.672,68.412,5.502
Balbinos,1.881,849,2.908,1.968,7.605,519,8.125,4.012
Bálsamo,9.076,15.566,9.180,19.092,52.914,5.027,57.941,7.637
Bananal,3.958,15.110,13.294,20.624,52.986,3.940,56.926,5.743
Barão de Antonina,4.400,419,4.419,6.948,16.186,695,16.882,5.819
Barbosa,9.249,2.496,7.590,9.938,29.273,1.450,30.723,5.061
Bariri,39.333,55.254,31.567,114.877,241.031,25.201,266.232,9.080
Barra Bonita,14.484,174.447,42.931,202.500,434.363,48.767,483.130,13.615
Barra do Chapéu,8.324,762,6.068,4.774,19.929,373,20.302,4.078
Barra do Turvo,1.833,813,10.239,9.677,22.562,1.709,24.271,3.023
Barretos,112.302,260.195,146.594,590.586,1.109.677,114.788,1.224.464,11.511
Barrinha,23.334,23.617,26.735,40.564,114.250,5.627,119.877,4.716
Barueri,55,2.280.014,454.997,7.408.114,10.143.180,3.573.880,13.717.061,62.952
Bastos,192.705,28.126,24.875,59.909,305.616,54.189,359.805,17.437
Batatais,77.190,159.243,67.035,259.998,563.465,68.802,632.268,11.992
Bauru,23.160,573.295,379.756,1.905.868,2.882.079,367.739,3.249.819,10.008
Bebedouro,93.262,244.849,90.394,474.243,902.749,129.975,1.032.724,13.741
Bento de Abreu,25.233,10.684,4.889,9.760,50.566,2.176,52.742,21.457
Bernardino de Campos,16.567,11.176,11.573,24.122,63.438,5.077,68.514,6.360
Bertioga,976,49.508,75.345,158.267,284.096,19.029,303.125,8.692
Bilac,20.892,6.483,8.494,22.279,58.149,4.629,62.778,9.823
Birigui,27.452,253.451,113.799,340.179,734.881,87.408,822.290,8.338
Biritiba-Mirim,89.612,11.576,30.218,54.099,185.505,6.544,192.050,7.425
Boa Esperança do Sul,92.958,8.485,17.773,40.906,160.122,5.855,165.978,12.838
Bocaina,21.455,44.345,12.186,36.030,114.015,11.066,125.081,12.715
Bofete,22.355,7.731,10.136,12.550,52.773,2.448,55.221,6.868
